Song,Copyright ,CCLI Song #
A New Commandment,"Andrew Moore, Aniceto Nazareth
©Words: Kevin Mayhew Ltd
Music: 1999 Kevin Mayhew Ltd
CCLI Licence No. 5485849",4540290
All On The Altar,"Andy Harrison, BJ Pridham, Mitch Wong
© 2016 Planetshakers Ministries Int. Inc. (Admin. by Music Services, Inc.)
CCLI Licence No. 5485849
",7075162
Amazing Grace (My Chains Are Gone),"Chris Tomlin, John Newton, Louie Giglio
©2006 Rising Springs Music (Admin. by SHOUT! Music Publishing Australia)
Vamos Publishing (Admin. by SHOUT! Music Publishing Australia)
worshiptogether.com songs (Admin. by SHOUT! Music Publishing Australia)
CCLI Licence No. 5485849",4768151
At The Cross (Love Ran Red),"Chris Tomlin, Ed Cash, Jonas Myrin, Matt Armstrong, Matt Redman
© Atlas Mountain Songs (Admin. by SHOUT! Music Publishing Australia)
Countless Wonder Publishing (Admin. by SHOUT! Music Publishing Australia)
Rising Springs Music (Admin. by SHOUT! Music Publishing Australia)
S. D. G. Publishing (Admin. by SHOUT! Music Publishing Australia)
Said And Done Music (Admin. by SHOUT! Music Publishing Australia)
Thankyou Music (Admin. by SHOUT! Music Publishing Australia)
Twelve Lions Music (Admin. by SHOUT! Music Publishing Australia)
Universal Music - Brentwood Benson Songs (Admin. by SHOUT! Music Publishing Australia)
Universal Music - Brentwood Benson Tunes (Admin. by SHOUT! Music Publishing Australia)
Worship Together Music (Admin. by SHOUT! Music Publishing Australia)
worshiptogether.com songs (Admin. by SHOUT! Music Publishing Australia)
CCLI Licence No. 5485849",7017786
Before the Throne of God Above,"Charitie Lees Bancroft, Vikki Cook
©1997 Sovereign Grace Worship (Admin. by Integrity Music)
CCLI Licence No. 5485849",2306412
Blessed Assurance ,"Jaywan Maxwell, Michael Farren, Nathan Singh, Rhyan Shirley
©2016 CityAlight Music (Admin. by Integrity Music)
CCLI Licence No. 5485849",22324
Build my life ,"Brett Younker, Karl Martin, Kirby Kaple, Matt Redman, Pat Barrett

© 2016 Martin, Karl Andrew (Admin. by Sentric Music)
Bethel Music Publishing (Admin. by SHOUT! Music Publishing Australia)
Capitol CMG Genesis (Admin. by SHOUT! Music Publishing Australia)
Housefires Sounds (Admin. by SHOUT! Music Publishing Australia)
Kaple Music (Admin. by SHOUT! Music Publishing Australia)
Said And Done Music (Admin. by SHOUT! Music Publishing Australia)
sixsteps Music (Admin. by SHOUT! Music Publishing Australia)
Thankyou Music (Admin. by SHOUT! Music Publishing Australia)
Vamos Publishing (Admin. by SHOUT! Music Publishing Australia)
worshiptogether.com songs (Admin. by SHOUT! Music Publishing Australia)
CCLI Licence No. 5485849
",7070345
Cause Of Christ,"Ben Hastings, Bryan Fowler, Kari Jobe
©Capitol CMG Amplifier (Admin. by SHOUT! Music Publishing Australia)
Kari Jobe Carnes Music (Admin. by SHOUT! Music Publishing Australia)
Musical Moodswing (Admin. by SHOUT! Music Publishing Australia)
Worship Together Music (Admin. by SHOUT! Music Publishing Australia)
SHOUT! Music Publishing Australia
CCLI Licence No. 5485849",7068111
Christ is enough ,"Jonas Myrin, Reuben Morgan
© 2012 Hillsong MP Songs (Admin. by Hillsong Music Publishing Australia)
Hillsong Music Publishing Australia
CCLI Licence No. 5485849
",6514035
Cornerstone,"Edward Mote, Eric Liljero, Jonas Myrin, Reuben Morgan, William Batchelder Bradbury
© 2011 Hillsong MP Songs (Admin. by Hillsong Music Publishing Australia)
Hillsong Music Publishing UK (Admin. by Hillsong Music Publishing Australia)
Hillsong Music Publishing Australia
CCLI Licence No. 5485849
",6158927
Confidence ,"Chris Rohman, Dustin Lolli, Ethan Hulse, Matthew Armstrong
© Curb Wordspring Music (Admin. by CopyCare Pacific Pty. Ltd.)
Eyes Up Songs (Admin. by CopyCare Pacific Pty. Ltd.)
Fair Trade Tunes (Admin. by Crossroad Distributors Pty. Ltd.)
1978 Music (Admin. by Essential Music Publishing LLC)
Be Essential Songs (Admin. by Essential Music Publishing LLC)
Bluehouse Music (Admin. by Essential Music Publishing LLC)
Caelum Terra Music (Admin. by Essential Music Publishing LLC)
EGH Music Publishing (Admin. by Essential Music Publishing LLC)
So Essential Tunes (Admin. by Essential Music Publishing LLC)
CCLI Licence No. 5485849
",7102614
Desert Song,"Brooke Ligertwood
©2008 Hillsong Music Publishing Australia
CCLI Licence No. 5485849",5060793
Even When It Hurts,"Joel Houston
© 2015 Hillsong Music Publishing Australia
CCLI Licence No. 5485849",7037924
Every Step ,"Ian Lewis, James Ferguson
© CityAlight Music (Admin. by Integrity Music)
CCLI Licence No. 5485849
",7199816
God is Able ,"Ben Fielding, Reuben Morgan
© 2010 Hillsong Music Publishing Australia
CCLI Licence No. 5485849
",5894275
Great Is Thy Faithfulness,"Thomas Obediah Chisholm, William Marion Runyan
©Words: 1923. Renewed 1951 Hope Publishing Company
Music: 1923. Renewed 1951 Hope Publishing Company
CCLI Licence No. 5485849",18723
He Will Hold Me Fast ,"Ada Ruth Habershon, Matthew Merker
©2013 Getty Music Publishing (Admin. by Music Services, Inc.)
Matthew Merker Music (Admin. by Music Services, Inc.)
CCLI Licence No. 5485849",7016161
Here I Am To Worship ,"Tim Hughes
© 2000 Thankyou Music (Admin. by SHOUT! Music Publishing Australia)
CCLI Licence No. 5485849",3266032
Hosanna,"Brooke Ligertwood
©2006 Hillsong Music Publishing Australia
CCLI Licence No. 5485849",4785835
How Deep The Father's Love For Us,"Stuart Townend
©1995 Thankyou Music (Admin. by SHOUT! Music Publishing Australia)
CCLI Licence No. 5485849
",155810
How Great is Our God ,"Chris Tomlin, Ed Cash, Jesse Reeves
© 2004 Wondrously Made Songs (Admin. by Music Services, Inc.)
Rising Springs Music (Admin. by SHOUT! Music Publishing Australia)
Vamos Publishing (Admin. by SHOUT! Music Publishing Australia)
worshiptogether.com songs (Admin. by SHOUT! Music Publishing Australia)
CCLI Licence No. 5485849
",4348399
I Offer My Life,"Claire Cloninger, Don Moen
© 1994 Curb Word Music (Admin. by CopyCare Pacific Pty. Ltd.)
Juniper Landing Music (Admin. by CopyCare Pacific Pty. Ltd.)
Integrity's Hosanna! Music (Admin. by Integrity Music)
CCLI Licence No. 5485849
",1375252
I Will Boast in Christ ,"Reuben Morgan, Scott Ligertwood
© 2016 Hillsong Music Publishing Australia
CCLI Licence No. 5485849
",7068427
